GEMS Station Number;Sample Date;Sample Time;Depth;Parameter Code;Analysis Method Code;Value Flags;Value;Unit;Data Quality;Status
ZAF00221;2009-03-20;10:55;0.0;DRP;0;;0.024;mg/l;Fair;
ZAF00221;2009-02-19;10:20;0.0;Alk-Tot;0;;148.126;mg/l;Fair;
ZAF00221;2009-02-19;10:20;0.0;EC;0;;609.0;µS/cm;Fair;
ZAF00221;2009-02-19;10:20;0.0;DRP;0;;0.036;mg/l;Fair;
ZAF00221;2009-01-22;11:15;0.0;Alk-Tot;0;;136.126;mg/l;Fair;
ZAF00221;2009-01-22;11:15;0.0;EC;0;;679.0;µS/cm;Fair;
ZAF00221;2009-01-22;11:15;0.0;DRP;0;;0.08;mg/l;Fair;
ZAF00221;2008-11-27;10:00;0.0;Alk-Tot;0;;109.475;mg/l;Fair;
ZAF00221;2008-11-27;10:00;0.0;EC;0;;602.0;µS/cm;Fair;
ZAF00221;2008-11-27;10:00;0.0;DRP;0;;0.45;mg/l;Fair;
ZAF00221;2008-10-23;10:56;0.0;Alk-Tot;0;;116.013;mg/l;Fair;
ZAF00221;2008-10-23;10:56;0.0;EC;0;;698.0;µS/cm;Fair;
ZAF00221;2008-10-23;10:56;0.0;DRP;0;<;0.012;mg/l;Fair;
ZAF00221;2008-09-04;10:59;0.0;Alk-Tot;0;;101.739;mg/l;Fair;
ZAF00221;2008-09-04;10:59;0.0;EC;0;;574.0;µS/cm;Fair;
ZAF00221;2008-09-04;10:59;0.0;DRP;0;;0.126;mg/l;Fair;
ZAF00221;2008-08-19;11:09;0.0;Alk-Tot;0;;122.4;mg/l;Fair;
ZAF00221;2008-08-19;11:09;0.0;EC;0;;683.0;µS/cm;Fair;
ZAF00221;2008-08-19;11:09;0.0;DRP;0;;0.077;mg/l;Fair;
ZAF00221;2008-06-24;08:44;0.0;EC;0;;550.0;µS/cm;Fair;
ZAF00221;2008-06-24;08:44;0.0;DRP;0;<;0.1;mg/l;Fair;
ZAF00221;2008-05-13;13:41;0.0;Alk-Tot;0;;109.317;mg/l;Fair;
ZAF00221;2008-05-13;13:41;0.0;EC;0;;502.0;µS/cm;Fair;
ZAF00221;2008-05-13;12:00;0.0;EC;0;;480.0;µS/cm;Fair;
ZAF00221;2008-05-13;13:41;0.0;DRP;0;;0.021;mg/l;Fair;
ZAF00221;2008-05-13;12:00;0.0;DRP;0;<;0.1;mg/l;Fair;
ZAF00221;2008-04-16;12:00;0.0;EC;0;;520.0;µS/cm;Fair;
ZAF00221;2008-04-16;12:00;0.0;DRP;0;<;0.1;mg/l;Fair;
ZAF00221;2008-03-10;12:00;0.0;EC;0;;450.0;µS/cm;Fair;
ZAF00221;2008-03-10;12:00;0.0;DRP;0;<;0.1;mg/l;Fair;
ZAF00221;2008-02-05;12:00;0.0;EC;0;;530.0;µS/cm;Fair;
ZAF00221;2008-02-05;12:00;0.0;DRP;0;<;0.1;mg/l;Fair;
ZAF00221;2008-01-08;08:47;0.0;EC;0;;760.0;µS/cm;Fair;
ZAF00221;2008-01-08;08:47;0.0;DRP;0;<;0.1;mg/l;Fair;
ZAF00221;2007-11-29;09:50;0.0;EC;0;;750.0;µS/cm;Fair;
ZAF00221;2007-11-29;09:50;0.0;DRP;0;<;0.1;mg/l;Fair;
ZAF00221;2007-10-30;10:45;0.0;Alk-Tot;0;;109.996;mg/l;Fair;
ZAF00221;2007-10-30;10:45;0.0;EC;0;;728.0;µS/cm;Fair;
ZAF00221;2007-10-30;10:45;0.0;DRP;0;;0.029;mg/l;Fair;
ZAF00221;2007-09-27;09:00;0.0;EC;0;;730.0;µS/cm;Fair;
ZAF00221;2007-09-27;09:00;0.0;DRP;0;;0.14;mg/l;Fair;
ZAF00221;2007-08-16;09:25;0.0;Alk-Tot;0;;147.591;mg/l;Fair;
ZAF00221;2007-08-16;09:25;0.0;EC;0;;682.0;µS/cm;Fair;
ZAF00221;2007-08-16;09:25;0.0;DRP;0;;0.054;mg/l;Fair;
ZAF00221;2007-07-10;11:05;0.0;Alk-Tot;0;;115.309;mg/l;Fair;
ZAF00221;2007-07-10;09:15;0.0;EC;0;;710.0;µS/cm;Fair;
ZAF00221;2007-07-10;11:05;0.0;EC;0;;667.0;µS/cm;Fair;
ZAF00221;2007-07-10;09:15;0.0;DRP;0;<;0.1;mg/l;Fair;
ZAF00221;2007-07-10;11:05;0.0;DRP;0;;0.036;mg/l;Fair;
ZAF00221;2007-05-15;09:58;0.0;Alk-Tot;0;;89.039;mg/l;Fair;
ZAF00221;2007-05-15;09:58;0.0;EC;0;;496.0;µS/cm;Fair;
ZAF00221;2007-05-15;09:58;0.0;DRP;0;;0.035;mg/l;Fair;
ZAF00221;2007-04-11;10:40;0.0;Alk-Tot;0;;66.999;mg/l;Fair;
ZAF00221;2007-04-11;10:40;0.0;EC;0;;408.0;µS/cm;Fair;
ZAF00221;2007-04-11;10:40;0.0;DRP;0;;0.162;mg/l;Fair;
ZAF00221;2007-03-07;10:19;0.0;EC;0;;350.0;µS/cm;Fair;
ZAF00221;2007-03-07;10:19;0.0;DRP;0;;0.11;mg/l;Fair;
ZAF00221;2007-02-06;09:37;0.0;EC;0;;440.0;µS/cm;Fair;
ZAF00221;2007-02-06;09:37;0.0;DRP;0;<;0.1;mg/l;Fair;
ZAF00221;2007-01-08;13:40;0.0;EC;0;;380.0;µS/cm;Fair;
ZAF00221;2007-01-08;13:40;0.0;DRP;0;<;0.1;mg/l;Fair;
ZAF00221;2006-12-06;10:45;0.0;EC;0;;430.0;µS/cm;Fair;
ZAF00221;2006-12-06;10:45;0.0;DRP;0;<;0.1;mg/l;Fair;
ZAF00221;2006-11-06;10:55;0.0;EC;0;;616.0;µS/cm;Fair;
ZAF00221;2006-11-06;10:55;0.0;DRP;0;;0.04;mg/l;Fair;
ZAF00221;2006-08-29;11:05;0.0;Alk-Tot;0;;75.17;mg/l;Fair;
